AccountIndustry,AccountName,AccountOwner,AccountId,Amount,CloseDate,DaysSinceLastActivity,ForecastCategory,Id,IsClosed,IsWon,OpportunityName,OpportunityAge,OpportunityOwner,OwnerId,RecordTypeName,StageName,Stage,LeadSource,StageSortOrder,TimeInStageDurationSeconds,Probability,analyticsdemo_batch_id__c
Energy,Powerit Solutions,Dennis Huffman,001B000000SS4iSIAT,15000,2019-04-08,6,Best Case,006B00000049Vc0IAE,false,false,Powerit Solutions 106,102,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Discovery,Reseller,0,4397678,0,20190709111258551478
Energy,Powerit Solutions,Dennis Huffman,001B000000SS4iSIAT,2500,2018-03-28,372,Omitted,006B00000049Vc1IAE,true,false,Powerit Solutions 116,91,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Reseller,9,33512805,0,20190709111258551478
Hospitality,Gold Access Inc,Alyssa Williams,001B000000SS3nYIAT,5000,2019-03-28,52,Best Case,006B00000049Vc2IAE,false,false,Gold Access Inc 132,71,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Proposal/Quote,Reseller,5,4397678,75,20190709111258551478
Recreation,Engineered Technical Solutions,Alicia Harrison,001B000000lwNr2IAE,50001,2018-01-12,488,Omitted,006B00000049Vc3IAE,true,false,Engineered Technical Solutions 158,113,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,40872110,0,20190709111258551478
Transportation,Regence Blue Shield Of Idaho,Dennis Huffman,001B000000SS4iVIAT,20000,2018-02-01,503,Omitted,006B00000049Vc4IAE,true,false,Regence Blue Shield Of Idaho 163,113,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38915955,0,20190709111258551478
Banking,AirWave Wireless,Philip Walton,001B000000SS3ncIAD,50000,2018-11-27,154,Omitted,006B00000049Vc5IAE,true,false,AirWave Wireless 182,81,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18803042,0,20190709111258551478
Agriculture,Impact Engine,Sheri Nunez,001B000000SS3ndIAD,12500,2019-03-13,57,Best Case,006B00000049Vc6IAE,false,false,Impact Engine 188,96,Noah Kelly,005B0000003CnfJIAS,Simple,Negotiation,Negotiation,Reseller,7,18803042,90,20190709111258551478
Agriculture,Impact Engine,Sheri Nunez,001B000000SS3ndIAD,50500,2019-04-05,32,Pipeline,006B00000049Vc7IAE,false,false,Impact Engine 195,37,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Proposal/Quote,Other,5,2951559,75,20190709111258551478
Agriculture,Impact Engine,Sheri Nunez,001B000000SS3ndIAD,25000,2017-12-09,465,Omitted,006B00000049Vc8IAE,true,false,Impact Engine 196,25,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,39954570,0,20190709111258551478
Energy,Reinsurance Group of America Incorporated,Noah Kelly,001B000000SS3ngIAD,10000,2019-01-27,50,Omitted,006B00000049Vc9IAE,true,false,Reinsurance Group of America Incorporated 224,129,Noah Kelly,005B0000003CnfJIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,5851511,0,20190709111258551478
Energy,Reinsurance Group of America Incorporated,Noah Kelly,001B000000SS3ngIAD,75000,2018-04-27,356,Omitted,006B00000049VcAIAU,true,false,Reinsurance Group of America Incorporated 227,123,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,29016828,0,20190709111258551478
Energy,SalesHeads,Alicia Harrison,001B000000bwMWkIAM,10000,2018-01-09,466,Omitted,006B00000049VcBIAU,true,false,SalesHeads 13,91,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,39546949,0,20190709111258551478
Hospitality,ChicagOne Developers,Philip Walton,001B000000SS3njIAD,30000,2019-05-26,37,Best Case,006B00000049VcCIAU,false,false,ChicagOne Developers 22,45,Allison Allen,005B0000003CnfGIAS,Simple,Qualification,Qualification,Fields Sales,2,18803042,20,20190709111258551478
Hospitality,ChicagOne Developers,Philip Walton,001B000000SS3njIAD,50500,2018-03-29,356,Omitted,006B00000049VcDIAU,true,false,ChicagOne Developers 31,107,Philip Walton,005B0000003CnfHIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,34021563,0,20190709111258551478
Telecommunications,Compulan,John Peck,001B000000SS3nmIAD,70000,2018-11-27,121,Omitted,006B00000049VcEIAU,true,false,Compulan 61,95,Wayne Blackwell,005B0000003CnfUIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,18803042,0,20190709111258551478
Banking,Client Growth Resources,Philip Walton,001B000000WJE5BIAX,5000,2018-12-13,129,Omitted,006B00000049VcFIAU,true,false,Client Growth Resources 84,112,Philip Walton,005B0000003CnfHIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,18803042,0,20190709111258551478
Machinery,The Hibbert Group,Alicia Harrison,001B000000WJE5DIAX,52500,2018-04-02,372,Omitted,006B00000049VcGIAU,true,false,The Hibbert Group 92,93,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,31985522,0,20190709111258551478
Education,Digi International,Rachel Reilly,001B000000SS3npIAD,25000,2018-06-27,319,Omitted,006B00000049VcHIAU,true,false,Digi International 97,69,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,24019046,0,20190709111258551478
Education,Digi International,Rachel Reilly,001B000000SS3npIAD,60000,2018-04-05,435,Omitted,006B00000049VcIIAU,true,false,Digi International 100,113,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,30783542,0,20190709111258551478
Energy,XServ,Sheri Nunez,001B000000SS3nqIAD,27500,2019-02-02,62,Omitted,006B00000049VcJIAU,true,false,XServ 111,87,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,8306984,0,20190709111258551478
Energy,XServ,Sheri Nunez,001B000000SS3nqIAD,92000,2018-12-22,138,Closed,006B00000049VcKIAU,true,true,XServ 113,81,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Won,Closed Won,Reseller,8,18803042,100,20190709111258551478
Environmental,Coradiant,Alyssa Williams,001B000000SS3nrIAD,5000,2018-03-02,447,Omitted,006B00000049VcLIAU,true,false,Coradiant 116,110,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Reseller,9,33274286,0,20190709111258551478
Utilities,Systemax,Amy Shaw,001B000000SS4icIAD,10000,2018-04-11,375,Omitted,006B00000049VcMIAU,true,false,Systemax 134,82,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,31052376,0,20190709111258551478
Apparel,Symbionic Technologies,Noah Kelly,001B000000bwMWsIAM,1000,2018-04-17,404,Omitted,006B00000049VcNIAU,true,false,Symbionic Technologies 198,86,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Reseller,9,31171612,0,20190709111258551478
Apparel,Insurity,Sheri Nunez,001B000000bwMWtIAM,3500,2018-04-06,345,Omitted,006B00000049VcOIAU,true,false,Insurity 225,21,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,29137378,0,20190709111258551478
Financial Services,Delta Centrifugal Corporation,Allison Allen,001B000000SS3nyIAD,20000,2018-11-17,186,Omitted,006B00000049VcPIAU,true,false,Delta Centrifugal Corporation 0,99,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18803042,0,20190709111258551478
Shipping,Pfeiffer Vacuum,Allison Allen,001B000000SS3nzIAD,10000,2018-04-02,406,Omitted,006B00000049VcQIAU,true,false,Pfeiffer Vacuum 11,109,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,31057065,0,20190709111258551478
Construction,Internotes Strategy,Noah Kelly,001B000000lwNr3IAE,25000,2018-09-27,251,Omitted,006B00000049VcRIAU,true,false,Internotes Strategy 15,112,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Reseller,9,18803042,0,20190709111258551478
Consulting,Geisler & Assoc,Amy Shaw,001B000000SS4ijIAD,20000,2018-12-20,154,Omitted,006B00000049VcSIAU,true,false,Geisler & Assoc 42,113,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,10902647,0,20190709111258551478
Entertainment,Sanofi Pasteur.,Rachel Reilly,001B000000bwMWvIAM,15000,2018-02-03,489,Omitted,006B00000049VcTIAU,true,false,Sanofi Pasteur. 64,123,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,39041640,0,20190709111258551478
Entertainment,Sanofi Pasteur.,Rachel Reilly,001B000000bwMWvIAM,20000,2018-03-31,423,Omitted,006B00000049VcUIAU,true,false,Sanofi Pasteur. 65,102,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,33719044,0,20190709111258551478
Entertainment,Sanofi Pasteur.,Rachel Reilly,001B000000bwMWvIAM,5000,2018-04-22,349,Omitted,006B00000049VcVIAU,true,false,Sanofi Pasteur. 66,123,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,29428954,0,20190709111258551478
Other,PBM Graphics,Allison Allen,001B000000WJE5KIAX,75000,2018-07-17,239,Omitted,006B00000049VcWIAU,true,false,PBM Graphics 95,40,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,20706628,0,20190709111258551478
Hospitality,Russell Stover Candies,Amy Shaw,001B000000SS3o4IAD,175000,2018-12-12,101,Omitted,006B00000049VcXIAU,true,false,Russell Stover Candies 122,26,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,18803042,0,20190709111258551478
Utilities,Illumitek,Amy Shaw,001B000000WJE5LIAX,2500,2019-04-05,13,Commit,006B00000049VcYIAU,false,false,Illumitek 128,47,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Proposal/Quote,Reseller,5,2951559,75,20190709111258551478
Construction,FuelQuest,Philip Walton,001B000000SS3o5IAD,55000,2018-11-26,125,Omitted,006B00000049VcZIAU,true,false,FuelQuest 131,63,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18803042,0,20190709111258551478
Other,Mack Cleveland Sales Inc,Wayne Blackwell,001B000000SS4ioIAD,7500,2018-07-18,297,Omitted,006B00000049VcaIAE,true,false,Mack Cleveland Sales Inc 171,85,Wayne Blackwell,005B0000003CnfUIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,20414164,0,20190709111258551478
Banking,Horizon Milling,Wayne Blackwell,001B000000WJE5MIAX,115000,2018-07-26,259,Omitted,006B00000049VcbIAE,true,false,Horizon Milling 180,125,Wayne Blackwell,005B0000003CnfUIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,21016255,0,20190709111258551478
Entertainment,Union Pacific Distribution Services,Wayne Blackwell,001B000000SS4iqIAD,50000,2018-03-27,349,Omitted,006B00000049VccIAE,true,false,Union Pacific Distribution Services 197,82,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Closed Lost,Reseller,9,31853324,0,20190709111258551478
Healthcare & Life Sciences,Kriz-Davis Co,Rachel Reilly,001B000000SS4itIAD,29950,2018-03-14,369,Closed,006B00000049VcdIAE,true,true,Kriz-Davis Co 16,127,Rachel Reilly,005B0000003CnfYIAS,Channel (Partner),Closed Won,Closed Won,Reseller,8,33303443,100,20190709111258551478
Manufacturing,Applied Magic,Rachel Reilly,001B000000SS3oBIAT,10000,2018-02-18,422,Omitted,006B00000049VceIAE,true,false,Applied Magic 21,47,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,33809061,0,20190709111258551478
Apparel,NBT Industrial,Sheri Nunez,001B000000lwNr5IAE,325000,2018-03-21,393,Omitted,006B00000049VcfIAE,true,false,NBT Industrial 35,119,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,33329477,0,20190709111258551478
Apparel,NBT Industrial,Sheri Nunez,001B000000lwNr5IAE,500,2018-09-22,238,Omitted,006B00000049VcgIAE,true,false,NBT Industrial 37,81,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Reseller,9,16173365,0,20190709111258551478
Healthcare & Life Sciences,Action Floor System Inc,John Peck,001B000000SS3oDIAT,25000,2018-03-26,418,Omitted,006B00000049VchIAE,true,false,Action Floor System Inc 60,87,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Reseller,9,31503326,0,20190709111258551478
Hospitality,NextCorp Ltd,Allison Allen,001B000000SS3oEIAT,86500,2019-02-20,35,Commit,006B00000049VciIAE,false,false,NextCorp Ltd 85,119,Allison Allen,005B0000003CnfGIAS,Simple,Proposal/Quote,Proposal/Quote,Fields Sales,5,18803042,75,20190709111258551478
Banking,Vovici Corporation,Philip Walton,001B000000SS4iwIAD,25000,2019-01-23,89,Omitted,006B00000049VcjIAE,true,false,Vovici Corporation 105,83,Rachel Reilly,005B0000003CnfYIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,18803042,0,20190709111258551478
Healthcare & Life Sciences,Executive Office FurnitureInc,Sheri Nunez,001B000000bwMWyIAM,15000,2018-03-20,419,Omitted,006B00000049VckIAE,true,false,Executive Office FurnitureInc 118,73,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,31127323,0,20190709111258551478
Technology,Information Technology SLTNS,Philip Walton,001B000000SS4iyIAD,61800,2018-09-25,172,Omitted,006B00000049VclIAE,true,false,Information Technology SLTNS 137,31,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,15135588,0,20190709111258551478
Communications,Showexperience Incorporated,Philip Walton,001B000000SS3oIIAT,3160,2018-04-23,373,Omitted,006B00000049VcmIAE,true,false,Showexperience Incorporated 171,115,Philip Walton,005B0000003CnfHIAS,Simple,Closed Lost,Closed Lost,Reseller,9,31469376,0,20190709111258551478
Communications,Showexperience Incorporated,Philip Walton,001B000000SS3oIIAT,2367,2018-07-09,348,Closed,006B00000049VcnIAE,true,true,Showexperience Incorporated 175,129,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Won,Closed Won,Reseller,8,22250002,100,20190709111258551478
Recreation,HOW2.COM,Alyssa Williams,001B000000SS4j0IAD,2500,2019-01-16,83,Omitted,006B00000049VcoIAE,true,false,HOW2.COM 214,82,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,5629223,0,20190709111258551478
Recreation,HOW2.COM,Alyssa Williams,001B000000SS4j0IAD,0,2019-03-27,19,Best Case,006B00000049VcpIAE,false,false,HOW2.COM 215,91,Alicia Harrison,005B0000003CnfZIAS,Simple,Discovery,Discovery,Fields Sales,0,18803042,0,20190709111258551478
Not For Profit,Distribution Systems International,Noah Kelly,001B000000SS3oKIAT,75000,2019-01-08,165,Omitted,006B00000049VcqIAE,true,false,Distribution Systems International 237,109,Noah Kelly,005B0000003CnfJIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,8576850,0,20190709111258551478
Other,CarrierPoint,Alicia Harrison,001B000000lwNr6IAE,25000,2018-05-01,347,Omitted,006B00000049VcrIAE,true,false,CarrierPoint 44,76,Alicia Harrison,005B0000003CnfZIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,27714314,0,20190709111258551478
Food & Beverage,Viable Alternatives,Amy Shaw,001B000000SS3oNIAT,12500,2019-04-12,65,Best Case,006B00000049VcsIAE,false,false,Viable Alternatives 57,69,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Proposal/Quote,Fields Sales,5,4397677,75,20190709111258551478
Agriculture,Aravali Technologies,Alyssa Williams,001B000000SS3oOIAT,52500,2018-09-22,218,Omitted,006B00000049VctIAE,true,false,Aravali Technologies 73,89,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,18147636,0,20190709111258551478
Recreation,Tri-Smith,Amy Shaw,001B000000SS4j4IAD,49605,2018-05-30,318,Omitted,006B00000049VcuIAE,true,false,Tri-Smith 81,93,Amy Shaw,005B0000003CnfgIAC,Simple,Closed Lost,Closed Lost,Reseller,9,25835459,0,20190709111258551478
Construction,Congoleum Corporation,Noah Kelly,001B000000SS4j5IAD,40000,2018-01-31,406,Omitted,006B00000049VcvIAE,true,false,Congoleum Corporation 101,26,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Reseller,9,35257892,0,20190709111258551478
Insurance,TerraData,Allison Allen,001B000000SS4j6IAD,52500,2018-07-15,282,Omitted,006B00000049VcwIAE,true,false,TerraData 116,120,Allison Allen,005B0000003CnfGIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,22452934,0,20190709111258551478
Transportation,Twenty  First Century Marketing,Allison Allen,001B000000SS3oSIAT,52500,2017-12-27,475,Omitted,006B00000049VcxIAE,true,false,Twenty  First Century Marketing 133,96,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,38035404,0,20190709111258551478
Insurance,Dialpad Communications,John Peck,001B000000lwNrHIAU,25000,2019-02-08,65,Omitted,006B00000049VcyIAE,true,false,Dialpad Communications 154,118,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,18803042,0,20190709111258551478
Insurance,Dialpad Communications,John Peck,001B000000lwNrHIAU,12500,2019-06-14,25,Best Case,006B00000049VczIAE,false,false,Dialpad Communications 159,27,Sheri Nunez,005B0000003CnfTIAS,Simple,Discovery,Discovery,Reseller,0,18803042,0,20190709111258551478
Manufacturing,Massillon Cable TV,Alicia Harrison,001B000000SS4j7IAD,60000,2019-04-28,6,Pipeline,006B00000049Vd0IAE,false,false,Massillon Cable TV 166,7,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Qualification,Reseller,2,4397677,20,20190709111258551478
Manufacturing,Massillon Cable TV,Alicia Harrison,001B000000SS4j7IAD,15000,2019-03-17,34,Best Case,006B00000049Vd1IAE,false,false,Massillon Cable TV 169,90,Allison Allen,005B0000003CnfGIAS,Channel (Partner),Closed Lost,Negotiation,Reseller,7,2001749,90,20190709111258551478
Manufacturing,Massillon Cable TV,Alicia Harrison,001B000000SS4j7IAD,52500,2017-10-25,505,Omitted,006B00000049Vd2IAE,true,false,Massillon Cable TV 178,6,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,43144659,0,20190709111258551478
Manufacturing,Massillon Cable TV,Alicia Harrison,001B000000SS4j7IAD,50000,2018-12-22,110,Omitted,006B00000049Vd3IAE,true,false,Massillon Cable TV 183,105,Allison Allen,005B0000003CnfGIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,18803042,0,20190709111258551478
Manufacturing,Massillon Cable TV,Alicia Harrison,001B000000SS4j7IAD,26000,2018-07-05,304,Closed,006B00000049Vd4IAE,true,true,Massillon Cable TV 187,83,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Won,Closed Won,Fields Sales,8,22624794,100,20190709111258551478
Healthcare & Life Sciences,NetIDEAS,Dennis Huffman,001B000000SS4j8IAD,5000,2019-01-19,51,Omitted,006B00000049Vd5IAE,true,false,NetIDEAS 197,83,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Reseller,9,8306937,0,20190709111258551478
Healthcare & Life Sciences,NetIDEAS,Dennis Huffman,001B000000SS4j8IAD,10350,2018-03-29,455,Omitted,006B00000049Vd6IAE,true,false,NetIDEAS 201,120,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Reseller,9,31836783,0,20190709111258551478
Apparel,Prologic Management Systems,Noah Kelly,001B000000SS3oVIAT,125000,2018-04-12,386,Omitted,006B00000049Vd7IAE,true,false,Prologic Management Systems 215,79,Noah Kelly,005B0000003CnfJIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,29851982,0,20190709111258551478
Electronics,Pop n Go,Wayne Blackwell,001B000000lwNrIIAU,25000,2019-04-20,12,Best Case,006B00000049Vd8IAE,false,false,Pop n Go 233,25,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Qualification,Reseller,2,4397677,20,20190709111258551478
Energy,CPU,Rachel Reilly,001B000000SS3oWIAT,0,2019-01-29,79,Omitted,006B00000049Vd9IAE,true,false,CPU 237,98,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,6272188,0,20190709111258551478
Consulting,FastPlanet Technologies,Noah Kelly,001B000000bwMX2IAM,159913,2019-04-09,26,Commit,006B00000049VdAIAU,false,false,FastPlanet Technologies 241,46,Noah Kelly,005B0000003CnfJIAS,Channel (Partner),Closed Won,Proposal/Quote,Fields Sales,5,2951546,75,20190709111258551478
Healthcare & Life Sciences,Toluna Usa,Alicia Harrison,001B000000SS3oXIAT,75000,2018-03-31,438,Omitted,006B00000049VdBIAU,true,false,Toluna Usa 2,104,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,33445245,0,20190709111258551478
Government,TheoFinance,Sheri Nunez,001B000000WJE5TIAX,5000,2019-03-04,52,Best Case,006B00000049VdCIAU,false,false,TheoFinance 52,86,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Negotiation,Reseller,7,4397677,90,20190709111258551478
Government,TheoFinance,Sheri Nunez,001B000000WJE5TIAX,20000,2018-06-14,327,Omitted,006B00000049VdDIAU,true,false,TheoFinance 57,87,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,26222093,0,20190709111258551478
Government,TheoFinance,Sheri Nunez,001B000000WJE5TIAX,0,2018-01-20,488,Omitted,006B00000049VdEIAU,true,false,TheoFinance 60,87,Noah Kelly,005B0000003CnfJIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,38242780,0,20190709111258551478
Transportation,Haverstick(dup),John Peck,001B000000SS3ocIAD,150000,2018-07-04,278,Omitted,006B00000049VdFIAU,true,false,Haverstick(dup) 71,68,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Fields Sales,9,21298512,0,20190709111258551478
Transportation,Haverstick(dup),John Peck,001B000000SS3ocIAD,10000,2018-10-10,200,Omitted,006B00000049VdGIAU,true,false,Haverstick(dup) 75,87,Alyssa Williams,005B0000003CnfXIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,14746521,0,20190709111258551478
Healthcare & Life Sciences,Computercare,Sheri Nunez,001B000000SS3ogIAD,45000,2018-03-16,416,Omitted,006B00000049VdHIAU,true,false,Computercare 126,67,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,31625090,0,20190709111258551478
Not For Profit,United Refrigeration,Noah Kelly,001B000000lwNrJIAU,27500,2017-11-28,480,Omitted,006B00000049VdIIAU,true,false,United Refrigeration 144,35,Wayne Blackwell,005B0000003CnfUIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,40714637,0,20190709111258551478
Apparel,Glovia International,Noah Kelly,001B000000SS3ohIAD,20000,2019-03-31,11,Best Case,006B00000049VdJIAU,false,false,Glovia International 164,62,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Discovery,Reseller,0,4397677,0,20190709111258551478
Apparel,Glovia International,Noah Kelly,001B000000SS3ohIAD,5000,2018-04-08,341,Omitted,006B00000049VdKIAU,true,false,Glovia International 167,76,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,30868650,0,20190709111258551478
Biotechnology,Amerimax Building Products,Alyssa Williams,001B000000SS3oiIAD,20000,2018-12-12,169,Omitted,006B00000049VdLIAU,true,false,Amerimax Building Products 176,101,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Closed Lost,Fields Sales,9,10902634,0,20190709111258551478
Technology,The Martin Group,John Peck,001B000000SS4jEIAT,40000,2018-04-20,332,Omitted,006B00000049VdMIAU,true,false,The Martin Group 192,37,John Peck,005B0000003CnffIAC,Simple,Closed Lost,Closed Lost,Reseller,9,28259547,0,20190709111258551478
Media,Boulder Weekly,Allison Allen,001B000000SS3okIAD,7500,2019-05-22,34,Commit,006B00000049VdNIAU,false,false,Boulder Weekly 203,48,Wayne Blackwell,005B0000003CnfUIAS,Channel (Partner),Qualification,Qualification,Reseller,2,18803042,20,20190709111258551478
Media,Boulder Weekly,Allison Allen,001B000000SS3okIAD,5000,2018-08-07,262,Omitted,006B00000049VdOIAU,true,false,Boulder Weekly 210,53,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Reseller,9,20416286,0,20190709111258551478
Insurance,Vanguard Computers Inc,Wayne Blackwell,001B000000SS3olIAD,41600,2019-04-17,13,Commit,006B00000049VdPIAU,false,false,Vanguard Computers Inc 225,26,Sheri Nunez,005B0000003CnfTIAS,Channel (Partner),Closed Lost,Discovery,Fields Sales,0,532227,0,20190709111258551478
Agriculture,eStudio,Alicia Harrison,001B000000SS4jIIAT,10000,2019-04-26,21,Best Case,006B00000049VdQIAU,false,false,eStudio 250,22,Alicia Harrison,005B0000003CnfZIAS,Simple,Closed Lost,Discovery,Reseller,0,714241,0,20190709111258551478
Financial Services,Pro-Tec Products,Dennis Huffman,001B000000SS3omIAD,30000,2019-01-07,79,Omitted,006B00000049VdRIAU,true,false,Pro-Tec Products 1,20,Dennis Huffman,005B0000003CnfIIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,5800657,0,20190709111258551478
Biotechnology,Certes Networks,Allison Allen,001B000000lwNrKIAU,5000,2018-11-16,183,Omitted,006B00000049VdSIAU,true,false,Certes Networks 9,93,Allison Allen,005B0000003CnfGIAS,Simple,Closed Lost,Closed Lost,Reseller,9,10902634,0,20190709111258551478
Biotechnology,Certes Networks,Allison Allen,001B000000lwNrKIAU,25000,2018-01-27,426,Omitted,006B00000049VdTIAU,true,false,Certes Networks 10,39,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Fields Sales,9,36392061,0,20190709111258551478
Insurance,CellExchange,Philip Walton,001B000000SS4jLIAT,10000,2018-10-15,164,Omitted,006B00000049VdUIAU,true,false,CellExchange 75,81,Rachel Reilly,005B0000003CnfYIAS,Simple,Closed Lost,Closed Lost,Reseller,9,14746521,0,20190709111258551478
Other,Ten-Pac International,Alyssa Williams,001B000000lwNrLIAU,1000,2019-03-21,52,Best Case,006B00000049VdVIAU,false,false,Ten-Pac International 76,69,Alyssa Williams,005B0000003CnfXIAS,Channel (Partner),Closed Lost,Proposal/Quote,Reseller,5,4397662,75,20190709111258551478
Insurance,Integration One,Amy Shaw,001B000000SS3oqIAD,7500,2018-10-07,166,Omitted,006B00000049VdWIAU,true,false,Integration One 82,57,Amy Shaw,005B0000003CnfgIAC,Channel (Partner),Closed Lost,Closed Lost,Reseller,9,14746521,0,20190709111258551478
Manufacturing,LCI Shipholdings Inc,John Peck,001B000000SS3owIAD,12500,2018-01-17,491,Omitted,006B00000049VdXIAU,true,false,LCI Shipholdings Inc 124,82,Sheri Nunez,005B0000003CnfTIAS,Simple,Closed Lost,Closed Lost,Reseller,9,37297931,0,20190709111258551478
